Course Id,Title,Description,Credits,Learning Goals,Distribution Requirements,CO,CW,G,L,Q,A,FS,H,NS,SS,3+3/4+3 Early Assurance Program with the Drexel University-Thomas Kline School of Law,4+4 Admissions Early Interview Program with the New York Institute of Technology College of,"Anthropology, B.A.","Anthropology: Environmental Anthropology Concentration, B.A.","Art History, B.A.","Art: Studio Art, B.A.","Biology, B.A.","Chemistry, B.A.","Communications, B.A.","Communications, B.A.: Digital Production and Cinema Studies Concentration","Communications, B.A.: Journalism and Public Relations Concentration","Communications, B.A.: Media Studies Concentration","Economics, B.A.","English: Creative Writing Track, B.A.","English: Literature Track, B.A.","Environmental Studies, B.A.","Fine Arts, B.A.","French, B.A.","History, B.A.","Interdisciplinary Studies, B.A.","International Studies: Business Track, B.A.","International Studies: Political Science Track, B.A.","Latin American Studies, B.A.","Liberal Studies, B.A.","Literature, B.A.","Mathematics, B.A.","Philosophy, B.A.","Physics, B.A.","Political Science, B.A.","Psychology, B.A.","Social Science: Psychology and Human Service Professions Concentration, B.A.","Social Science: Social Cultural Studies Concentration, B.A.","Sociology, B.A.","Spanish, B.A.",4+4 Early Acceptance Program (EAP) with the LECOM School of Dental Medicine,"Dentistry, B.A./B.S./D.D.S. (NYU)",General Education & Core Requirements,"Law, B.A./B.S./J.D. (Albany)","Medicine, B.A./B.S./D.O. (Lake Erie College of Osteopathic Medicine - LECOM)","Medicine, B.A./B.S./D.O. (Philadelphia College of Osteopathic Medicine - PCOM )","Medicine, B.A./B.S./D.O.( NEW YORK INSTITUTE OF TECHNOLOGY COLLEGE OF OSTEOPATHIC MEDICINE-NYITCOM)","Optometry, B.S./O.D. (SUNY College of Optometry)","Pre-Engineering, B.A./B.S./M.S. (Columbia)",Scholar Teacher Education Program (STEP): Teaching English to Speakers of Other Languages (TESOL) 5-Year B.A./M.A. or B.S./M.A.,The 4+4 Collaborative Affiliation Agreement with the Buffalo School of Pharmacy and Pharmaceutical Sciences,"The Scholar Teacher Education Program (STEP), B.A. or B.S/M.A.","Veterinary Medicine, B.A. or B.S./D.V.M. (Ross University School of Veterinary Medicine)","Accounting, B.B.A.","Management, B.B.A.","Management: Finance Specialization, B.B.A.","Management: Human Resource Management Specialization, B.B.A.","Management: Management Information Systems Specialization, B.B.A.","Management: Marketing Specialization, B.B.A.",Accounting Five Year B.B.A./M.B.A.,"Art and Design Education, B.F.A.","Art Education (Pre-K-12), B.F.A.","Art: Studio Art, B.F.A.","Art: Studio Art, Graphic Design Concentration, B.F.A.","Dance, B.F.A.","Theatre Arts: Acting, B.F.A.","Theatre Arts: Design/Technology, B.F.A.","Accelerated Nursing Program, leading to the B.S. in Nursing","Biochemistry, B.S.","Biology, B.S.","Business, B.S. (through College of Professional and Continuing Studies)","Chemistry, B.S.","Communication Sciences and Disorders, B.S.","Computer and Management Information Systems, B.S.","Computer and Management Information Systems: Game Development Concentration, B.S.","Computer and Management Information Systems: Information Security Concentration, B.S.",Computer Science B.S.,"Criminal Justice, B.S.","Emergency Services Administration, B.S.","Exercise Science, B.S.","Finance, B.S.","Interdisciplinary Studies, B.S.","Marketing, B.S.","Mathematics, B.S.","Music Education, B.S.","Music, B.S.","Music: Composition Concentration, B.S.","Music: Vocal Performance Concentration, B.S.","Natural Sciences, B.S.","Neuroscience, B.S. - Cognitive Neuroscience Concentration","Neuroscience, B.S. - Molecular Neuroscience Concentration","Nursing, B.S.","Nursing, R.N. to B.S.","Physical Activity Studies, B.S.","Physical Education and Health Education, B.S.","Physical Education: Teaching, B.S.","Physical Therapy, B.S./D.P.T. (New York Institute of Technology)","Physical Therapy, B.S./D.P.T. (New York Medical College)","Physics, B.S.","Podiatry, B.S./D.P.M (New York College of Podiatric Medicine - NYCPM )","Sport Management, B.S.","ANSWER Program Leading to Bachelor of Social Work, B.S.W.","Social Work, B.S.W.","Social Work: Child and Family Studies Concentration, B.S.W."
0172-121,"Level III Spanish 
Prerequisite: SPA 112 or equivalent",,3,"LearningGoal(s): CO,G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0172-122,"Level IV Spanish 
Students who failed to receive a C- in level III cannot continue in to the next level, Level IV",,3,"LearningGoal(s): G,CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0172-200,Spanish Elective,,1.00 - 6.00,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0172-231,"Spanish Cross-Cultural Concepts 
Prerequisite: SPA 122 or equivalent",,3,"LearningGoal(s): G,CO",Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0172-246,Spain Today,,3,"LearningGoal(s): G,CO",Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0172-248,Trends and Tendencies in Hispanic America,,3,"LearningGoal(s): G,CO",Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0172-331,Survey of the Literature of Spain,,3,"LearningGoal(s): G,CW",Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0187-101,Global Issues I,,3,LearningGoal(s): G,Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0187-102,Global Issues I I,,3,LearningGoal(s): G,Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0192-201,"Experiencing London Theatre

For majors and non-majors",,3,LearningGoal(s): G,Distribution Requirement(s): A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196-123,"Music History I: Foundation Study

For majors only",,3,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196-220,"Music History II 

For majors only",,3,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196-223,"Music History III 

For majors only",,3,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196-252,African Music Cultures,,3,LearningGoal(s): G,Distribution Requirement(s): A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196-320,"Music History IV 

For majors only",,3,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196-430,The Arts and The Creative Process,,3,LearningGoal(s): G,Distribution Requirement(s): A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0204-341,"International Business
This course open to Juniors and Seniors",,3,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302-209,"Culture,Health and Healing in Botswana Africa
Open to All Majors",,2,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302-244,"Nursing Service Learning Experience in Costa Rica

For majors and non-majors",,1,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302-245,"Service Learning Experience in Guatemala
Open to Entire University Co-Req: Participation in the Entire Intersession Program",,1,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0801-110,"Human Rights and Peace Studies Multidisciplanary Perspectives
Required for Peace Studies Minor.Open to others as a general education elective",,3,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0803-203,"Introduction to Art and Design Education
25 hours of fieldwork required for art and design education majors. Students must post a completed fieldwork log to Moodle",,3,"LearningGoal(s): G,CW",Distribution Requirement(s): A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0809-491,"Human Rights and Peace Studies: Multidisciplinary Perspective
Required for Peace Studies Minor. Open to others as a general education elective. Cross-listed with 0170-110",,3,LearningGoal(s): G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0960-201,"Writing from a Global Perspective

For Levermore Global Scholar Students Only",,3,"LearningGoal(s): CW,G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0960-210,"Global Affairs

For Levermore Global Scholar Students Only",,3,LearningGoal(s): G,Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0960-211,"Global Problem Solving

For Levermore Global Scholar Students Only",,3,LearningGoal(s): G,Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0960-320,"Levermore Global Scholars Seminar in The Arts
Sophomore Standing or HigherFor Levermore Global Scholar Students Only",,3,LearningGoal(s): G,Distribution Requirement(s): A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020-284,Information Literacy for Sociology & Criminal Justice,,1,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103-229,"Humankind,Culture, and Environment",,3,"LearningGoal(s): CO,L",Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0105-224,"Genetics Project Lab
Bio 222 must be taken concurrentlyStudent must register for Lecture and Lab",,2,"LearningGoal(s): CO,L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0105-438,"Microbial Ecology-Capstone
Students must have completed 20 credits of coursework in Biology in order to register for this class Students must have completed 20 credits of courseworküin Biology in order to register for this class Students must have completed 20 credits of coursework inüBiology on order to register for this class",,4,"LearningGoal(s): L,CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122-344,Major Author (s) In English,,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122-350,Literary Criticism And Theory,,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122-351,Theories of the Text,,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122-353,Theories of Literary Translation,,3,"LearningGoal(s): G,L",Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122-355,Reading Race,,3,LearningGoal(s): L,Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122-356,Ecocriticism,,3,LearningGoal(s): L,Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122-357,Reading Gender and Sexualities,,3,LearningGoal(s): L,Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122-358,Narrative,,3,LearningGoal(s): L,Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0125-210,Mapping Environmental Issues,,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0125-410,"Senior Seminar/Capstone 
Meets Capstone requirements if taken during either of the last two semesters of a student's baccalaureate degree program. Students must have taken 20 credits in the major to register Capstone Course",,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0136-201,Sophomore Seminar Research Skills,,3,"LearningGoal(s): CW,L",Distribution Requirement(s): H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0145-170,"Introduction To Computers and Their Applications 
Fulfills second Competency Requirement Can not be applied to Math/Science distribution Requirements",,3,"LearningGoal(s): L,Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0154-395,"Independent Study Philosophical Writing
Must be taken by Majors, if possible before the Senior year,together with some higher level course. To be determined in conjuction with advisor. For majors only",,1,"LearningGoal(s): CW,L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0156-106,Beyond The Solar System,,3,"LearningGoal(s): Q,L",Distribution Requirement(s): NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0158-102,Introduction To Politics,,3,LearningGoal(s): L,Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170-240,Sociology of Violence,,3,"LearningGoal(s): CW,L",Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170-246,Criminology,,4,"LearningGoal(s): L,CW",Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170-302,"Quantitative Research Methods

Student must register for Lecture and Lab Student must register for Lecture and Lab",,4,"LearningGoal(s): L,Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170-341,Gender Issues in Criminal Justice,,3,"LearningGoal(s): CW,L",Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170-380,Social Change,,3,"LearningGoal(s): L,G",Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0187-201,"Interdisciplinary Mid-Level Research Seminar
Offered only in alternate years Must be taken in Sophomore or Junior Year",,3,"LearningGoal(s): L,CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0199-250,"Foundations of Music Education

For majors only",,3,"LearningGoal(s): L,CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302-206,"Scholarly Writing For The Healthcare Professional

For majors and non-majors",,3,"LearningGoal(s): L,CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302-384,Evidence-Based Practice in Nursing,,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0501-245,"Psychological Research
Must register for Corresponding required lab Departmental Approved Required For majors only",,4,"LearningGoal(s): Q,L",Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0606-246,Criminology,,4,"LearningGoal(s): L,CW",Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0811-100,Communications and Critical Thinking,,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0852-100,Principles of Health And Physical Education,,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0852-104,"Introduction to Exercise Science

For majors only",,3,LearningGoal(s): L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0876-201,"Scientific and Professional Writing in CSD

For majors only",,3,"LearningGoal(s): CW,L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103-225,"Human Evolution
37.5 flexible hours for lab activities,including two guided museum visits (MNH and MET). Cross-listed with 0112-225 and 0125-225",,4,LearningGoal(s): Q,Distribution Requirement(s): NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103-332,"Archaeological Field Methods in Alaska
Expect this course to be physically challenging with hiking , tent camping, and a love of dirt required",,4,"LearningGoal(s): Q,G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103-333,Fieldwork And Lab Techniques In Archaeology and Physical Anthropology,,3.00 - 6.00,"LearningGoal(s): Q,G",Distribution Requirement(s): SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0105-111,"Biological Concepts and Methods I 
Foundation course required for Biology Majors and open to others Foundation course required for Biology Majors and üopen to others Students must register for Lecture,Lab and Recitation Students must register for Lecture,Lab and Recitation Students must register for Lecture,Lab and Recitation",,4,LearningGoal(s): Q,Distribution Requirement(s): NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0105-112,"Biological Concepts and Methods I I (Lecture) 
Foundation course required for Biology Majors and open to others",,4,LearningGoal(s): Q,Distribution Requirement(s): NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106-111,"General Chemistry I
Students must register for Lecture, Lab and Recitation",,4,LearningGoal(s): Q,Distribution Requirement(s): NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106-112,"General Chemistry II 
Student must obtain a minimum grade of C- in all prerequisite courses",,4,LearningGoal(s): Q,Distribution Requirement(s): NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0112-225,"Human Evolution
37.5 flexible hours for lab activities,including two guided museum visits (MNH and MET). Cross-listed with 0103-225 and 0125-225",,4,LearningGoal(s): Q,Distribution Requirement(s): NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0125-225,"Human Evolution
37.5 flexible hours for lab activities,including two guided museum visits (MNH and MET).Cross-listed with 0103-225 and 0112-225",,4,LearningGoal(s): Q,Distribution Requirement(s): NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0133-107,Problem Solving Across The Curriculum,,3,LearningGoal(s): Q,Distribution Requirement(s): FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0144-101,Mathematical Modeling in the Sciences,,3,LearningGoal(s): Q,Distribution Requirement(s): FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0144-102,Mathematical Modeling In Human Affairs,,3,LearningGoal(s): Q,Distribution Requirement(s): FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
